threshold,class,pred_bout_index,gt_bout_index,tiou,pred_start,pred_end,gt_start,gt_end,start_offset_frames,end_offset_frames,split,video_id,prediction_type,backbone,head,seed,model_name,track
0.1,mount,54,56,0.9140625,10864,10991,10869,10985,-5,6,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,56,57,0.1311475409836065,11840,11871,11864,11900,-24,-29,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,57,58,0.8221153846153846,11872,12079,11902,12072,-30,7,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,58,59,0.5,12160,12191,12158,12176,2,15,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,59,60,0.823943661971831,12192,12319,12178,12308,14,11,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,61,62,0.4,12544,12559,12552,12563,-8,-4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,62,63,0.5517241379310345,13088,13119,13085,13142,3,-23,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,63,64,0.625,13120,13183,13144,13183,-24,0,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,64,65,0.625,13184,13199,13185,13194,-1,5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,65,66,0.4545454545454545,13488,13519,13487,13502,1,17,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,66,67,0.6,13584,13599,13580,13595,4,4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,67,68,0.8695652173913043,13600,13711,13597,13699,3,12,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,68,70,0.6415094339622641,13856,13903,13870,13908,-14,-5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,69,72,0.7875,14544,14623,14552,14614,-8,9,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,70,73,0.7675438596491229,15120,15295,15121,15347,-1,-52,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,73,76,0.6666666666666666,16368,16383,16365,16388,3,-5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,74,77,0.9056603773584906,16464,16511,16463,16515,1,-4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,75,78,0.10062893081761,16816,16831,16815,16973,1,-142,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,78,79,0.735632183908046,17088,17151,17079,17165,9,-14,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,79,80,0.96875,17360,17391,17361,17391,-1,0,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,80,81,0.2604166666666667,17472,17567,17487,17511,-15,56,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,81,82,0.25,18000,18015,18011,18014,-11,1,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,82,84,0.9361702127659576,18384,18559,18379,18566,5,-7,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,85,85,0.4693877551020408,19040,19071,19049,19088,-9,-17,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,86,86,0.6607142857142857,19072,19183,19090,19163,-18,20,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,87,87,0.1142857142857142,19184,19199,19165,19187,19,12,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,89,90,0.4961832061068702,20304,20383,20319,20434,-15,-51,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,91,92,0.4090909090909091,20736,20783,20718,20762,18,21,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,92,95,0.5625,21104,21151,21123,21149,-19,2,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,93,96,0.7441860465116279,21152,21183,21151,21193,1,-10,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,94,97,0.7,21184,21263,21195,21250,-11,13,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,96,98,0.34375,21280,21295,21264,21290,16,5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,97,99,0.696969696969697,21440,21471,21449,21472,-9,-1,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,98,100,0.7083333333333334,21504,21551,21515,21548,-11,3,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,99,101,0.4166666666666667,22048,22095,22071,22090,-23,5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,100,103,0.7454545454545455,22736,22783,22729,22776,7,7,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,101,104,0.6923076923076923,22960,23007,22972,23011,-12,-4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,mount,102,105,0.7916666666666666,23008,23055,23013,23050,-5,5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.1,investigation,103,107,0.8823529411764706,23456,23503,23453,23500,3,3,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,0,3,0.3465073529411764,0,1087,313,689,-313,398,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,1,6,0.4419642857142857,1104,1775,1306,1602,-202,173,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,3,8,0.9488636363636364,1792,1967,1801,1967,-9,0,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,4,9,0.8658536585365854,2160,2319,2178,2323,-18,-4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,5,10,0.8921568627450981,2320,2415,2325,2421,-5,-6,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,7,11,0.8205128205128205,2560,2591,2559,2597,1,-6,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,8,12,0.825,2592,2671,2599,2664,-7,7,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,9,13,0.4090909090909091,2672,2687,2666,2680,6,7,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,10,14,0.8484848484848485,2816,2847,2820,2848,-4,-1,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,11,15,0.9448529411764706,2848,3119,2850,3106,-2,13,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,12,16,0.4318181818181818,3120,3151,3108,3138,12,13,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,13,17,0.53125,3280,3311,3295,3311,-15,0,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,14,18,0.9609375,3312,3439,3313,3435,-1,4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,15,19,0.3134328358208955,3440,3503,3437,3460,3,43,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,16,20,0.9375,3536,3567,3537,3566,-1,1,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,17,21,0.9846153846153848,3568,3631,3568,3632,0,-1,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,18,22,0.7931034482758621,3632,3679,3634,3689,-2,-10,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,19,23,0.6875,3680,3743,3691,3734,-11,9,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,20,24,0.7384615384615385,3744,3791,3736,3800,8,-9,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,22,27,0.4270833333333333,3808,4095,3859,3981,-51,114,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,23,29,0.7796610169491526,4288,4335,4290,4346,-2,-11,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,24,30,0.8020833333333334,4336,4527,4348,4501,-12,26,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,28,32,0.5,4672,4719,4687,4710,-15,9,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,30,34,0.6417910447761194,4960,5007,4965,5026,-5,-19,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,31,35,0.8205128205128205,5056,5183,5028,5183,28,0,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,33,36,0.7634408602150538,5904,5983,5913,5996,-9,-13,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,34,37,0.9232954545454546,5984,6335,5998,6322,-14,13,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,36,38,0.7647058823529411,6912,6943,6918,6945,-6,-2,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,37,39,0.7631578947368421,6944,6975,6947,6981,-3,-6,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,38,40,0.4513888888888889,6976,7119,6983,7047,-7,72,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,39,41,0.8135593220338984,7184,7231,7179,7237,5,-6,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,40,42,0.9013452914798208,7232,7439,7239,7454,-7,-15,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,42,44,0.34375,8000,8031,8003,8013,-3,18,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,43,46,0.6588235294117647,8256,8335,8280,8340,-24,-5,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,44,47,0.4912280701754385,9072,9103,9047,9099,25,4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,45,48,0.9498069498069498,9104,9359,9101,9349,3,10,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,46,50,0.6956521739130435,9552,9567,9549,9571,3,-4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,48,51,0.8421052631578947,9584,9647,9573,9648,11,-1,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,50,53,0.821917808219178,10272,10335,10263,10331,9,4,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,51,54,0.9019607843137256,10336,10383,10333,10381,3,2,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,investigation,52,55,0.9844559585492229,10384,10575,10383,10573,1,2,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
0.25,mount,54,56,0.9140625,10864,10991,10869,10985,-5,6,test_1,Mouse060_20160526_18-16-27,smoothed_frames,yolo_sppf,attention,42,yolo_sppf_full_attention256_seed42,YOLO/SPPF Attention-256
