sample_id,video_id,start_frame,label,top16_pc_leverage
Mouse835-female_20200325_18-28-49_10767-24391_f011760,Mouse835-female_20200325_18-28-49_10767-24391,11760,mount,2917.312
Mouse630_20181025_18-44-29_01807-21458_f015056,Mouse630_20181025_18-44-29_01807-21458,15056,mount,2913.6494
Mouse835-female_20200325_18-28-49_10767-24391_f011200,Mouse835-female_20200325_18-28-49_10767-24391,11200,mount,2888.9207
Mouse062_20160526_18-56-26_f000688,Mouse062_20160526_18-56-26,688,investigation,2888.791
Mouse061_20160526_18-38-49_f016976,Mouse061_20160526_18-38-49,16976,mount,2884.4941
Mouse839-female_20200322_20-15-11_12885-24623_f004256,Mouse839-female_20200322_20-15-11_12885-24623,4256,mount,2873.6128
Mouse627_20181026_17-29-36_16209-22286_f001552,Mouse627_20181026_17-29-36_16209-22286,1552,mount,2871.0798
Mouse061_20160526_18-38-49_f016880,Mouse061_20160526_18-38-49,16880,mount,2866.71
Mouse062_20160526_18-56-26_f000704,Mouse062_20160526_18-56-26,704,investigation,2857.5842
Mouse630_20181025_18-44-29_21460-30528_f004656,Mouse630_20181025_18-44-29_21460-30528,4656,mount,2856.9536
Mouse627_20181026_17-29-36_01994-09560_f004864,Mouse627_20181026_17-29-36_01994-09560,4864,mount,2805.6348
Mouse630_20181025_18-44-29_01807-21458_f014048,Mouse630_20181025_18-44-29_01807-21458,14048,mount,2801.8315
Mouse630_20181025_18-44-29_21460-30528_f001408,Mouse630_20181025_18-44-29_21460-30528,1408,mount,2800.7466
Mouse627_20181026_17-29-36_16209-22286_f005712,Mouse627_20181026_17-29-36_16209-22286,5712,mount,2794.6357
Mouse162_20161017_19-58-28_f012592,Mouse162_20161017_19-58-28,12592,investigation,2779.3613
Mouse836-female_20200322_19-33-17_14594-23870_f007232,Mouse836-female_20200322_19-33-17_14594-23870,7232,mount,2734.8916
Mouse062_20160526_18-56-26_f000656,Mouse062_20160526_18-56-26,656,investigation,2714.629
Mouse061_20160526_18-38-49_f016752,Mouse061_20160526_18-38-49,16752,mount,2671.8628
Mouse630_20181025_18-44-29_01807-21458_f017904,Mouse630_20181025_18-44-29_01807-21458,17904,mount,2664.2993
Mouse627_20181026_17-29-36_16209-22286_f005728,Mouse627_20181026_17-29-36_16209-22286,5728,mount,2663.7385
Mouse627_20181026_17-29-36_16209-22286_f001248,Mouse627_20181026_17-29-36_16209-22286,1248,mount,2649.935
Mouse061_20160526_18-38-49_f016800,Mouse061_20160526_18-38-49,16800,mount,2615.0361
Mouse630_20181025_18-44-29_21460-30528_f004560,Mouse630_20181025_18-44-29_21460-30528,4560,mount,2609.4648
Mouse062_20160526_18-56-26_f014576,Mouse062_20160526_18-56-26,14576,mount,2596.955
Mouse839-female_20200322_20-15-11_12885-24623_f004368,Mouse839-female_20200322_20-15-11_12885-24623,4368,mount,2593.5122
Mouse836-female_20200322_19-33-17_00957-13323_f001760,Mouse836-female_20200322_19-33-17_00957-13323,1760,investigation,2589.337
Mouse627_20181026_17-29-36_16209-22286_f001568,Mouse627_20181026_17-29-36_16209-22286,1568,mount,2577.5996
Mouse062_20160526_18-56-26_f015616,Mouse062_20160526_18-56-26,15616,mount,2544.671
Mouse630_20181025_18-44-29_01807-21458_f018016,Mouse630_20181025_18-44-29_01807-21458,18016,mount,2542.2935
Mouse077_20160709_18-29-34_f008192,Mouse077_20160709_18-29-34,8192,other,2535.569
Mouse062_20160526_18-56-26_f000304,Mouse062_20160526_18-56-26,304,investigation,2510.5913
Mouse062_20160526_18-56-26_f001904,Mouse062_20160526_18-56-26,1904,investigation,2476.7761
Mouse060_20160526_18-16-27_f014288,Mouse060_20160526_18-16-27,14288,other,2456.8752
Mouse061_20160526_18-38-49_f003968,Mouse061_20160526_18-38-49,3968,mount,2449.301
Mouse062_20160526_18-56-26_f011408,Mouse062_20160526_18-56-26,11408,mount,2448.917
Mouse162_20161017_19-58-28_f005776,Mouse162_20161017_19-58-28,5776,investigation,2439.1243
Mouse159_20151129_20-48-38_f003952,Mouse159_20151129_20-48-38,3952,attack,2424.1099
Mouse627_20181026_17-29-36_01994-09560_f006992,Mouse627_20181026_17-29-36_01994-09560,6992,other,2424.0264
Mouse074_20160709_19-15-23_f011152,Mouse074_20160709_19-15-23,11152,other,2414.29
Mouse630_20181025_18-44-29_21460-30528_f002432,Mouse630_20181025_18-44-29_21460-30528,2432,mount,2412.6963
Mouse077_20160709_18-29-34_f000112,Mouse077_20160709_18-29-34,112,investigation,2394.67
Mouse630_20181025_18-44-29_21460-30528_f000352,Mouse630_20181025_18-44-29_21460-30528,352,mount,2391.7886
Mouse162_20161017_19-58-28_f003664,Mouse162_20161017_19-58-28,3664,investigation,2389.5264
Mouse062_20160526_18-56-26_f019552,Mouse062_20160526_18-56-26,19552,mount,2387.4182
Mouse063_20160526_19-14-46_f013536,Mouse063_20160526_19-14-46,13536,investigation,2387.0503
Mouse839-female_20200322_20-15-11_12885-24623_f001136,Mouse839-female_20200322_20-15-11_12885-24623,1136,mount,2367.1409
Mouse836-female_20200322_19-33-17_14594-23870_f007296,Mouse836-female_20200322_19-33-17_14594-23870,7296,mount,2365.2456
Mouse060_20160526_18-16-27_f003584,Mouse060_20160526_18-16-27,3584,mount,2332.13
Mouse063_20160526_19-14-46_f019008,Mouse063_20160526_19-14-46,19008,other,2319.535
Mouse835-female_20200325_18-28-49_10767-24391_f008384,Mouse835-female_20200325_18-28-49_10767-24391,8384,mount,2293.4812
Mouse630_20181025_18-44-29_21460-30528_f003856,Mouse630_20181025_18-44-29_21460-30528,3856,mount,2289.8706
