sample_id,video_id,start_frame,label,top16_pc_leverage
Mouse630_20181025_18-44-29_01807-21458_f018736,Mouse630_20181025_18-44-29_01807-21458,18736,mount,7643.3613
Mouse062_20160526_18-56-26_f014320,Mouse062_20160526_18-56-26,14320,mount,7551.083
Mouse156_20151012_20-16-37_f003248,Mouse156_20151012_20-16-37,3248,other,7479.4
Mouse077_20160709_18-29-34_f000352,Mouse077_20160709_18-29-34,352,attack,7406.534
Mouse060_20160526_18-16-27_f022544,Mouse060_20160526_18-16-27,22544,other,7395.9873
Mouse156_20151012_20-16-37_f002320,Mouse156_20151012_20-16-37,2320,attack,7382.6006
Mouse062_20160526_18-56-26_f014608,Mouse062_20160526_18-56-26,14608,mount,7347.9106
Mouse162_20161017_19-58-28_f008704,Mouse162_20161017_19-58-28,8704,other,7309.5137
Mouse077_20160709_18-29-34_f007360,Mouse077_20160709_18-29-34,7360,attack,7255.7905
Mouse060_20160526_18-16-27_f007312,Mouse060_20160526_18-16-27,7312,mount,7232.8315
Mouse077_20160709_18-29-34_f002064,Mouse077_20160709_18-29-34,2064,attack,7228.9404
Mouse062_20160526_18-56-26_f014672,Mouse062_20160526_18-56-26,14672,mount,7218.675
Mouse077_20160709_18-29-34_f000336,Mouse077_20160709_18-29-34,336,attack,7083.5156
Mouse062_20160526_18-56-26_f017680,Mouse062_20160526_18-56-26,17680,mount,7046.9326
Mouse156_20151012_20-16-37_f004720,Mouse156_20151012_20-16-37,4720,attack,7030.3125
Mouse156_20151012_20-16-37_f006208,Mouse156_20151012_20-16-37,6208,investigation,7010.7324
Mouse062_20160526_18-56-26_f015200,Mouse062_20160526_18-56-26,15200,mount,6979.6846
Mouse156_20151012_20-16-37_f006864,Mouse156_20151012_20-16-37,6864,investigation,6964.3325
Mouse062_20160526_18-56-26_f014944,Mouse062_20160526_18-56-26,14944,mount,6935.99
Mouse060_20160526_18-16-27_f005056,Mouse060_20160526_18-16-27,5056,mount,6917.5537
Mouse062_20160526_18-56-26_f014576,Mouse062_20160526_18-56-26,14576,mount,6907.0615
Mouse062_20160526_18-56-26_f015216,Mouse062_20160526_18-56-26,15216,mount,6880.3354
Mouse627_20181026_17-29-36_01994-09560_f005552,Mouse627_20181026_17-29-36_01994-09560,5552,mount,6845.363
Mouse156_20151012_20-16-37_f000768,Mouse156_20151012_20-16-37,768,investigation,6773.038
Mouse077_20160709_18-29-34_f000912,Mouse077_20160709_18-29-34,912,attack,6758.2124
Mouse077_20160709_18-29-34_f000976,Mouse077_20160709_18-29-34,976,attack,6734.2124
Mouse062_20160526_18-56-26_f014560,Mouse062_20160526_18-56-26,14560,mount,6642.2944
Mouse062_20160526_18-56-26_f014800,Mouse062_20160526_18-56-26,14800,mount,6631.6646
Mouse162_20161017_19-58-28_f005776,Mouse162_20161017_19-58-28,5776,investigation,6623.7974
Mouse062_20160526_18-56-26_f014816,Mouse062_20160526_18-56-26,14816,mount,6569.6963
Mouse070_20160709_16-58-36_f013600,Mouse070_20160709_16-58-36,13600,other,6546.2744
Mouse162_20161017_19-58-28_f001488,Mouse162_20161017_19-58-28,1488,attack,6505.687
Mouse077_20160709_18-29-34_f001168,Mouse077_20160709_18-29-34,1168,attack,6465.715
Mouse070_20160709_16-58-36_f004960,Mouse070_20160709_16-58-36,4960,attack,6351.5796
Mouse627_20181026_17-29-36_01994-09560_f004848,Mouse627_20181026_17-29-36_01994-09560,4848,mount,6314.89
Mouse077_20160709_18-29-34_f000848,Mouse077_20160709_18-29-34,848,attack,6305.5825
Mouse063_20160526_19-14-46_f016336,Mouse063_20160526_19-14-46,16336,other,6277.765
Mouse062_20160526_18-56-26_f015264,Mouse062_20160526_18-56-26,15264,mount,6195.5293
Mouse063_20160526_19-14-46_f008640,Mouse063_20160526_19-14-46,8640,other,6123.791
Mouse074_20160709_19-15-23_f003392,Mouse074_20160709_19-15-23,3392,attack,6092.448
Mouse077_20160709_18-29-34_f019440,Mouse077_20160709_18-29-34,19440,investigation,6079.404
Mouse156_20151012_20-16-37_f009040,Mouse156_20151012_20-16-37,9040,investigation,6064.9575
Mouse630_20181025_18-44-29_01807-21458_f018704,Mouse630_20181025_18-44-29_01807-21458,18704,mount,6053.9814
Mouse062_20160526_18-56-26_f014960,Mouse062_20160526_18-56-26,14960,mount,6030.7437
Mouse156_20151012_20-16-37_f004848,Mouse156_20151012_20-16-37,4848,attack,5989.439
Mouse062_20160526_18-56-26_f015440,Mouse062_20160526_18-56-26,15440,mount,5964.0586
Mouse061_20160526_18-38-49_f015968,Mouse061_20160526_18-38-49,15968,other,5961.135
Mouse063_20160526_19-14-46_f017056,Mouse063_20160526_19-14-46,17056,mount,5960.2275
Mouse062_20160526_18-56-26_f015008,Mouse062_20160526_18-56-26,15008,mount,5895.5874
Mouse063_20160526_19-14-46_f015040,Mouse063_20160526_19-14-46,15040,mount,5890.734
Mouse156_20151012_20-16-37_f002336,Mouse156_20151012_20-16-37,2336,attack,5886.5356
Mouse070_20160709_16-58-36_f007728,Mouse070_20160709_16-58-36,7728,other,5737.524
Mouse162_20161017_19-58-28_f016992,Mouse162_20161017_19-58-28,16992,investigation,5713.3335
Mouse162_20161017_19-58-28_f001504,Mouse162_20161017_19-58-28,1504,attack,5704.6963
Mouse074_20160709_19-15-23_f000720,Mouse074_20160709_19-15-23,720,attack,5651.5347
Mouse062_20160526_18-56-26_f015616,Mouse062_20160526_18-56-26,15616,mount,5613.1997
Mouse156_20151012_20-16-37_f005200,Mouse156_20151012_20-16-37,5200,attack,5603.2856
Mouse162_20161017_19-58-28_f015424,Mouse162_20161017_19-58-28,15424,investigation,5593.2817
Mouse062_20160526_18-56-26_f015520,Mouse062_20160526_18-56-26,15520,mount,5544.138
Mouse062_20160526_18-56-26_f015872,Mouse062_20160526_18-56-26,15872,mount,5537.929
Mouse062_20160526_18-56-26_f017920,Mouse062_20160526_18-56-26,17920,mount,5516.6265
Mouse156_20151012_20-16-37_f005584,Mouse156_20151012_20-16-37,5584,other,5487.889
Mouse162_20161017_19-58-28_f001984,Mouse162_20161017_19-58-28,1984,attack,5475.06
Mouse162_20161017_19-58-28_f013648,Mouse162_20161017_19-58-28,13648,investigation,5368.5103
Mouse070_20160709_16-58-36_f017248,Mouse070_20160709_16-58-36,17248,other,5358.8916
Mouse062_20160526_18-56-26_f009440,Mouse062_20160526_18-56-26,9440,mount,5338.007
Mouse062_20160526_18-56-26_f014992,Mouse062_20160526_18-56-26,14992,mount,5321.6064
