sample_id,video_id,start_frame,label,top16_pc_leverage
Mouse063_20160526_19-14-46_f012816,Mouse063_20160526_19-14-46,12816,mount,1312.7355
Mouse156_20151012_20-16-37_f000768,Mouse156_20151012_20-16-37,768,investigation,1308.1031
Mouse069_20160709_16-02-03_f013120,Mouse069_20160709_16-02-03,13120,other,1307.1078
Mouse062_20160526_18-56-26_f014672,Mouse062_20160526_18-56-26,14672,mount,1300.5071
Mouse162_20161017_19-58-28_f013648,Mouse162_20161017_19-58-28,13648,investigation,1289.7144
Mouse062_20160526_18-56-26_f015200,Mouse062_20160526_18-56-26,15200,mount,1285.3986
Mouse156_20151012_20-16-37_f004288,Mouse156_20151012_20-16-37,4288,investigation,1275.6401
Mouse162_20161017_19-58-28_f001712,Mouse162_20161017_19-58-28,1712,attack,1253.8058
Mouse060_20160526_18-16-27_f005024,Mouse060_20160526_18-16-27,5024,mount,1251.931
Mouse061_20160526_18-38-49_f013584,Mouse061_20160526_18-38-49,13584,mount,1250.7853
Mouse062_20160526_18-56-26_f014304,Mouse062_20160526_18-56-26,14304,mount,1240.004
Mouse062_20160526_18-56-26_f015216,Mouse062_20160526_18-56-26,15216,mount,1235.1732
Mouse062_20160526_18-56-26_f015440,Mouse062_20160526_18-56-26,15440,mount,1202.6382
Mouse062_20160526_18-56-26_f014944,Mouse062_20160526_18-56-26,14944,mount,1200.6445
Mouse061_20160526_18-38-49_f012240,Mouse061_20160526_18-38-49,12240,mount,1187.9695
Mouse062_20160526_18-56-26_f015520,Mouse062_20160526_18-56-26,15520,mount,1180.9648
Mouse062_20160526_18-56-26_f014608,Mouse062_20160526_18-56-26,14608,mount,1179.1504
Mouse062_20160526_18-56-26_f014576,Mouse062_20160526_18-56-26,14576,mount,1178.0083
Mouse062_20160526_18-56-26_f015264,Mouse062_20160526_18-56-26,15264,mount,1164.0017
Mouse630_20181025_18-44-29_01807-21458_f018704,Mouse630_20181025_18-44-29_01807-21458,18704,mount,1163.7515
Mouse839-female_20200322_20-15-11_12885-24623_f002016,Mouse839-female_20200322_20-15-11_12885-24623,2016,mount,1162.8739
Mouse836-female_20200322_19-33-17_00957-13323_f001136,Mouse836-female_20200322_19-33-17_00957-13323,1136,investigation,1152.5991
Mouse835-female_20200325_18-28-49_10767-24391_f000704,Mouse835-female_20200325_18-28-49_10767-24391,704,investigation,1148.6466
Mouse162_20161017_19-58-28_f009280,Mouse162_20161017_19-58-28,9280,investigation,1143.6
Mouse070_20160709_16-58-36_f000048,Mouse070_20160709_16-58-36,48,attack,1141.6125
Mouse061_20160526_18-38-49_f013520,Mouse061_20160526_18-38-49,13520,mount,1131.9309
Mouse062_20160526_18-56-26_f014960,Mouse062_20160526_18-56-26,14960,mount,1128.5879
Mouse060_20160526_18-16-27_f009184,Mouse060_20160526_18-16-27,9184,mount,1127.0896
Mouse156_20151012_20-16-37_f004240,Mouse156_20151012_20-16-37,4240,attack,1126.8252
Mouse077_20160709_18-29-34_f004304,Mouse077_20160709_18-29-34,4304,other,1126.4286
Mouse156_20151012_20-16-37_f003248,Mouse156_20151012_20-16-37,3248,other,1124.8689
Mouse162_20161017_19-58-28_f012912,Mouse162_20161017_19-58-28,12912,investigation,1123.0037
Mouse162_20161017_19-58-28_f013872,Mouse162_20161017_19-58-28,13872,investigation,1122.9982
Mouse163_20161018_18-22-45_f000256,Mouse163_20161018_18-22-45,256,investigation,1117.1619
Mouse062_20160526_18-56-26_f014560,Mouse062_20160526_18-56-26,14560,mount,1109.8827
Mouse060_20160526_18-16-27_f003008,Mouse060_20160526_18-16-27,3008,mount,1106.4934
Mouse162_20161017_19-58-28_f009360,Mouse162_20161017_19-58-28,9360,investigation,1102.7439
Mouse062_20160526_18-56-26_f014816,Mouse062_20160526_18-56-26,14816,mount,1100.1302
Mouse162_20161017_19-58-28_f003664,Mouse162_20161017_19-58-28,3664,investigation,1095.492
Mouse062_20160526_18-56-26_f014800,Mouse062_20160526_18-56-26,14800,mount,1094.2538
Mouse627_20181026_17-29-36_01994-09560_f005584,Mouse627_20181026_17-29-36_01994-09560,5584,mount,1093.2832
Mouse062_20160526_18-56-26_f015008,Mouse062_20160526_18-56-26,15008,mount,1091.992
Mouse061_20160526_18-38-49_f013552,Mouse061_20160526_18-38-49,13552,mount,1087.2894
Mouse162_20161017_19-58-28_f012016,Mouse162_20161017_19-58-28,12016,investigation,1074.1117
Mouse162_20161017_19-58-28_f005744,Mouse162_20161017_19-58-28,5744,investigation,1073.665
Mouse063_20160526_19-14-46_f013648,Mouse063_20160526_19-14-46,13648,investigation,1069.6594
Mouse162_20161017_19-58-28_f006688,Mouse162_20161017_19-58-28,6688,investigation,1064.8451
Mouse156_20151012_20-16-37_f002320,Mouse156_20151012_20-16-37,2320,attack,1056.028
Mouse063_20160526_19-14-46_f017056,Mouse063_20160526_19-14-46,17056,mount,1054.982
Mouse162_20161017_19-58-28_f003744,Mouse162_20161017_19-58-28,3744,investigation,1053.3182
Mouse062_20160526_18-56-26_f014320,Mouse062_20160526_18-56-26,14320,mount,1052.6511
Mouse836-female_20200322_19-33-17_14594-23870_f008112,Mouse836-female_20200322_19-33-17_14594-23870,8112,other,1047.8898
Mouse062_20160526_18-56-26_f009440,Mouse062_20160526_18-56-26,9440,mount,1044.0541
Mouse074_20160709_19-15-23_f003392,Mouse074_20160709_19-15-23,3392,attack,1038.7417
Mouse061_20160526_18-38-49_f015968,Mouse061_20160526_18-38-49,15968,other,1034.8951
Mouse060_20160526_18-16-27_f023952,Mouse060_20160526_18-16-27,23952,other,1033.0502
Mouse077_20160709_18-29-34_f001920,Mouse077_20160709_18-29-34,1920,investigation,1030.2241
Mouse163_20161018_18-22-45_f003600,Mouse163_20161018_18-22-45,3600,investigation,1028.03
Mouse074_20160709_19-15-23_f015888,Mouse074_20160709_19-15-23,15888,other,1026.4044
Mouse061_20160526_18-38-49_f000304,Mouse061_20160526_18-38-49,304,investigation,1017.6145
Mouse162_20161017_19-58-28_f006752,Mouse162_20161017_19-58-28,6752,investigation,1012.49994
Mouse835-female_20200325_18-28-49_10767-24391_f000160,Mouse835-female_20200325_18-28-49_10767-24391,160,investigation,1009.52203
Mouse060_20160526_18-16-27_f019136,Mouse060_20160526_18-16-27,19136,mount,1007.0978
Mouse062_20160526_18-56-26_f015568,Mouse062_20160526_18-56-26,15568,mount,1006.58124
Mouse835-female_20200325_18-28-49_10767-24391_f004416,Mouse835-female_20200325_18-28-49_10767-24391,4416,other,1005.01843
Mouse162_20161017_19-58-28_f012272,Mouse162_20161017_19-58-28,12272,investigation,1004.45416
Mouse061_20160526_18-38-49_f006720,Mouse061_20160526_18-38-49,6720,investigation,1004.19727
Mouse163_20161018_18-22-45_f000288,Mouse163_20161018_18-22-45,288,investigation,1003.02545
Mouse060_20160526_18-16-27_f007312,Mouse060_20160526_18-16-27,7312,mount,1000.01733
Mouse162_20161017_19-58-28_f015424,Mouse162_20161017_19-58-28,15424,investigation,998.29407
Mouse156_20151012_20-16-37_f004720,Mouse156_20151012_20-16-37,4720,attack,997.41565
Mouse162_20161017_19-58-28_f012592,Mouse162_20161017_19-58-28,12592,investigation,996.8871
Mouse835-female_20200325_18-28-49_10767-24391_f011792,Mouse835-female_20200325_18-28-49_10767-24391,11792,mount,993.1565
Mouse061_20160526_18-38-49_f012880,Mouse061_20160526_18-38-49,12880,other,992.9712
Mouse836-female_20200322_19-33-17_00957-13323_f002288,Mouse836-female_20200322_19-33-17_00957-13323,2288,investigation,991.5025
Mouse060_20160526_18-16-27_f002896,Mouse060_20160526_18-16-27,2896,mount,990.63293
Mouse162_20161017_19-58-28_f012288,Mouse162_20161017_19-58-28,12288,investigation,986.46533
Mouse060_20160526_18-16-27_f001360,Mouse060_20160526_18-16-27,1360,investigation,986.3983
