n_attack,n_investigation,n_mount,n_other,n_windows,split,status,video_id
0,228,355,323,906,train,ok,Mouse629_20181025_17-20-00_02297-30084
36,163,0,108,307,train,ok,Mouse631_20181002_18-18-01_01656-09795
120,39,2,42,203,train,ok,Mouse631_20181002_18-18-01_10583-14955
126,63,6,45,240,train,ok,Mouse631_20181025_20-40-42_02227-08176
83,73,0,29,185,train,ok,Mouse631_20181025_20-40-42_08889-13029
0,150,301,257,708,train,ok,Mouse634_20181028_20-55-52_09018-30959
58,73,0,253,384,train,ok,Mouse634_20181028_22-16-56_27907-44055
0,214,409,222,845,val,ok,Mouse059_20160526_17-54-59
26,53,0,84,163,val,ok,Mouse1210_20181105_21-16-19_001378-007475
0,227,0,119,346,val,ok,Mouse1213_20181105_19-32-25_005196-014263
0,85,24,149,258,val,ok,Mouse1213_20181105_19-32-25_042676-052204
0,90,8,87,185,val,ok,Mouse1213_20181105_19-32-25_064981-071731
0,62,118,23,203,val,ok,Mouse1242_20190105_21-03-23_005405-009943
0,52,78,58,188,val,ok,Mouse1242_20190105_21-03-23_031352-036978
80,12,2,1,95,val,ok,Mouse1243_20190102_16-35-49_018434-020102
0,32,24,48,104,val,ok,Mouse1243_20190102_16-35-49_039329-042646
0,83,51,26,160,val,ok,Mouse1254_20190203_19-38-41_005732-009406
0,23,36,44,103,val,ok,Mouse1254_20190203_19-38-41_010888-014159
0,30,58,9,97,val,ok,Mouse1254_20190203_19-38-41_014330-016290
9,61,0,60,130,val,ok,Mouse1254_20190203_19-38-41_017650-021478
0,6,21,19,46,val,ok,Mouse1254_20190203_19-38-41_022438-023908
0,19,55,56,130,val,ok,Mouse1254_20190203_19-38-41_024787-028705
84,52,9,15,160,val,ok,Mouse1254_20190203_19-38-41_029787-032990
0,113,117,33,263,val,ok,Mouse1254_20190205_14-58-15_005858-011659
0,41,69,27,137,val,ok,Mouse1254_20190205_14-58-15_012691-015996
50,17,0,13,80,val,ok,Mouse1254_20190205_14-58-15_016923-018587
0,19,45,58,122,val,ok,Mouse1254_20190205_14-58-15_020117-023619
80,5,0,5,90,val,ok,Mouse1254_20190205_14-58-15_024894-026692
0,381,41,191,613,val,ok,Mouse156_20161017_17-09-39
0,465,28,177,670,val,ok,Mouse157_20161017_17-36-12
0,346,0,252,598,val,ok,Mouse158_20161017_18-02-32
0,415,24,198,637,val,ok,Mouse158_20161018_15-46-30
0,612,0,171,783,val,ok,Mouse159_20161018_16-21-18
0,193,57,244,494,val,ok,Mouse160_20161017_18-57-00
0,214,61,244,519,val,ok,Mouse160_20161018_18-59-18
0,360,56,210,626,val,ok,Mouse161_20161017_19-30-58
0,141,25,100,266,val,ok,Mouse204_20170224_18-07-32_024650-032855
0,87,0,139,226,val,ok,Mouse204_20170224_18-07-32_056260-064814
0,195,0,69,264,val,ok,Mouse206_20170216_22-29-43_001005_008075
0,404,2,72,478,val,ok,Mouse206_20170224_19-58-42_027309_037147
